Course Name,State,Tee Colour,Gender,Slope Rating,Course Rating,Par Total,Hole 1 Par,Hole 1 SI,Hole 2 Par,Hole 2 SI,Hole 3 Par,Hole 3 SI,Hole 4 Par,Hole 4 SI,Hole 5 Par,Hole 5 SI,Hole 6 Par,Hole 6 SI,Hole 7 Par,Hole 7 SI,Hole 8 Par,Hole 8 SI,Hole 9 Par,Hole 9 SI,Hole 10 Par,Hole 10 SI,Hole 11 Par,Hole 11 SI,Hole 12 Par,Hole 12 SI,Hole 13 Par,Hole 13 SI,Hole 14 Par,Hole 14 SI,Hole 15 Par,Hole 15 SI,Hole 16 Par,Hole 16 SI,Hole 17 Par,Hole 17 SI,Hole 18 Par,Hole 18 SI
Beverley Park,NSW,Blue,Male,122,69.1,70,5,12,4,4,3,15,4,14,4,9,4,10,4,3,4,8,4,5,4,11,3,7,5,2,3,16,4,13,4,17,4,1,3,6,4,18
Beverley Park,NSW,Red,Male,123,71.8,70,5,9,4,10,3,2,4,18,4,13,4,11,4,3,4,7,4,5,4,14,3,4,5,17,3,12,4,6,4,15,4,1,3,8,4,16
Beverley Park,NSW,White,Female,131,74.3,72,5,2,4,15,4,18,4,8,4,4,4,5,4,3,4,13,4,10,4,9,4,11,5,1,3,17,4,7,4,12,4,6,3,14,4,16
Beverley Park,NSW,Red,Female,124,74.4,72,5,2,4,15,4,18,4,8,4,4,4,5,4,3,4,13,4,10,4,9,4,11,5,1,3,17,4,7,4,12,4,6,3,14,4,16
Coolangatta Tweed River,NSW,Blue,Male,120,71.5,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,White,Male,119,70.9,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,Yellow,Male,117,69.5,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,Red,Female,127,73.4,73,5,8,4,10,3,16,4,4,4,14,5,12,3,18,4,2,4,6,3,15,4,11,4,7,4,5,5,9,5,13,4,3,3,17,5,1
Coolangatta Tweed West,NSW,Blue,Male,129,71.6,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta Tweed West,NSW,White,Male,128,70.6,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta Tweed West,NSW,Yellow,Male,125,69.9,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
